Date,Predicted_Energy_Production,rolling_mean,rolling_std,z_score,Anomaly
2025-12-11,805.5741556601436,,,,False
2025-12-12,799.8831541422672,,,,False
2025-12-13,800.0647188400195,,,,False
2025-12-14,800.0647188400195,,,,False
2025-12-15,800.2872926650934,,,,False
2025-12-16,801.4068149779335,,,,False
2025-12-17,801.4054510565398,801.2409008831453,2.0145865767710043,0.08167937545692462,False
2025-12-18,789.5284499583419,798.9486572114594,4.202679637300725,-2.2414764069830118,True
2025-12-19,786.7068463821239,797.0663275314388,6.193566413360367,-1.6726196924227816,True
2025-12-20,791.9749702283442,795.9106491583424,6.294759867465622,-0.6252309878157032,False
2025-12-21,792.2143139796275,794.7891627497148,6.128437636874474,-0.42014766611878435,False
2025-12-22,792.0000792466723,793.6052751185118,5.6728139985330275,-0.28296289500319494,False
2025-12-23,792.3716907863401,792.3145430911414,4.510740773102753,0.012669248372552209,False
2025-12-24,792.4393645171402,791.0336735855128,2.1589843234219623,0.6510889941986316,False
2025-12-25,784.4949157558532,790.3145972708717,3.2872846042462576,-1.7703613211649145,True
2025-12-26,784.5854377478717,790.0115388945499,3.741700418356971,-1.4501698532724534,False
2025-12-27,784.5506164796276,788.9509169304475,4.125007282589855,-1.06673761992906,False
2025-12-28,784.5506164796276,787.8561030018761,4.131518515793081,-0.8000657650723432,False
2025-12-29,778.4781251535031,785.9243952742805,4.950928156605521,-1.5040149816843125,True
2025-12-30,778.6189586979248,783.9597192616499,4.687790150669762,-1.1392917327926986,False
2025-12-31,777.0707456261686,781.7642022772252,3.5038970986938525,-1.3394961435386374,False
2026-01-01,783.4048742054784,781.6084820557431,3.3844998653557727,0.5307703416163314,False
2026-01-02,782.4215180426562,781.2993506692837,3.158556180071795,0.3552785859730871,False
2026-01-03,782.4215180426562,780.9951937497163,2.883857748408204,0.4945889906418365,False
2026-01-04,782.5299704938251,780.706530037459,2.5505239583528794,0.714927789795676,False
2026-01-05,782.2055677128127,781.239021831646,2.391914429278635,0.40408882079371133,False
2026-01-06,784.225173829776,782.0399097076246,2.3054266063634192,0.9478784170008788,False
2026-01-07,784.2487831754839,783.0653436432412,0.8865549483205025,1.3348744310599194,False
2026-01-08,783.8246169072128,783.1253068863462,0.926635833843099,0.7546762118688243,False
2026-01-09,783.1373172826729,783.2275639206343,0.8740283955208106,-0.1032536682147771,False
2026-01-10,785.6894361497903,783.6944093645105,1.1880688850024934,1.6792181080270718,True
2026-01-11,786.4970840472432,784.2611398721417,1.4560122062659642,1.5356630703225553,True
2026-01-12,781.2457257996302,784.1240195988299,1.7056553290838772,-1.6875002529061094,True
2026-01-13,783.3315518492931,783.9963593159038,1.7300892814415658,-0.3842619417055421,False
